ioType|FileName|FileType|FileFormat|FileLoc|DataClass|DataInfo|DataReq|DataEx
input|aoi_soils_param|csv data frame|txt|"./datasets/observed"|observed|Data frame of soil classes for the AOI basin.|>> Field separator: semicolon ";". >> Decimal separator: period  ".". >> Mandatory fields: >>> "IdSoil": unique integer number of soil class index.>>> "SoilName": one-word name of soil class. >>> "SoilAlias": one-word alias of soil class.  >>>"f_To":  positive real number - unitless factor of basin average effective soil transmissivity.  >>>"f_Ksat":  positive real number - unitless factor of reference effective saturated hydraulic conductivity. >>> "Porosity": positive real number - value of soil porosity. >>> "K_USLE": soil erosivity index in ton h MJ-1 mm-1 of USLE. >> Optional fields: >>> "ColoSoil": CSS color name available in matplotlib (ex: "blue") or hex code of color (ex: "#5234eb").|sample file
input|calib_basin|raster map|asc|"./datasets/observed"|observed|Boolean raster map of the area of calibration basin.|>> Must match the same size (rows and columns) of other related raster maps. >> CRS must be projected (coordinates in meters).  >> Grid cells must be squared. >> Cells values units: boolean (1.0 and 0.0). >>  Cells must be 1.0 where the the area is TRUE and 0.0 where the area is FALSE.|basin
input|calib_twi|raster map|asc|"./datasets/observed"|observed|Raster map of the Topographic Wetness Index (`TWI`) for the calibration basin.|>> Must match the same size (rows and columns) of other related raster maps. >> CRS must be projected (coordinates in meters). >> Grid cells must be squared. >> Cells values units: TWI units.|twi
input|calib_dem|raster map|asc|"./datasets/observed"|observed|Raster map of Digital Elevation Model (DEM) of the calibration basin.|>> Must match the same size (rows and columns) of other related raster maps. >> CRS must be projected (coordinates in meters).  >> Grid cells must be squared.|dem
input|calib_etpat_series_input|csv time series|txt|"./datasets/observed"|observed|Monthly time series of ET-proxy pattern maps for the calibration basin. |>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Date format: "YYYY-MM-DD".  >> No record gaps are allowed (the time series must be continuous). >> Mandatory fields: >>> "Date": date of record (day can be arbitrary). >>> "File": file path to input etpat .asc raster map. Ex: "C:/mydata/calib_etpat_01.asc" |sample file
input|calib_lulc|raster map|asc|"./datasets/observed"|observed|Raster map of LULC (land use and land cover) for the calibration basin and calibration period. Each LULC class receives an index number defined in the lulc_calib_param file |>> Must match the same size (rows and columns) of other related raster maps. >> CRS must be projected (coordinates in meters). >> Grid cells must be squared. >> Cells values units: class index.|lulc
input|calib_lulc_param|csv data frame|txt|"./datasets/observed"|observed|Data frame of LULC classes for the calibration basin.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Mandatory fields: >>>"IdLULC": unique integer number of LULC class index.>>> "LULCName": one-word name of LULC class.>>> "LULCAlias": one-word alias of LULC class.>>>"f_Canopy":  positive real number - unitless factor of reference effective canopy storage capacity. >>> "f_Surface": positive real  number - unitless factor reference effective surface storage capacity.  >>>"f_RootDepth": positive real  number - unitless factor of reference root zone depth. >>>"f_IRA": positive real  number - unitless factor of irrigation input that is intercepted by canopy. >>> "f_IRI": positive real number - unitless factor of irrigation input that is not intercepted by canopy.>>>"CanopySeason": list of four months aliases separated by "&" (ex: Sep & Nov & Feb & Jun). The months order must reflect the starting phases of canopy growth, peak, decay and dormancy.  If seasonality is not allowed must store "none" code.>>>"f_CanopyBackg": positive real number lower or equal to 1.0 - unitless factor of canopy background value during dormancy period.>>>"C_USLE": positive real number - unitless factor C of soil cover of USLE. >>> "P_USLE": positive real number - unitless factor P of conservation practices of USLE. >>> "ConvertTo": list of LULC classes allowed to conversion separated by "&". If conversion is not allowed must store "none" code. >>> "ColorLULC": CSS color name available in Matplotlib (ex: "blue") or hex code of color (ex: "#5234eb").|sample file
input|calib_series|csv time series|txt|"./datasets/observed"|observed|Daily time series of climatic and hydrologic data for the calibration basin in the calibration period.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Date format: "YYYY-MM-DD". >> No record gaps are allowed (the time series must be continuous). >> Mandatory fields: >>> "Date": date of record. >>> "Prec": daily accumulated precipitation in mm. >>> "Temp": mean daily temperature in Celsius. >>> "IRA": mean daily flow of irrigation intercepted by the canopy in mm/day. >>> "IRI": mean daily flow of irrigation not intercepted by the canopy in mm/day. >>> "Q": mean daily specific flow at basin outlet in mm/day. >> Optional fields: >>> "Flow": mean daily flow at the basin outlet in m3/seconds (Note: Flow [m3/s] = Q [mm/day] * BasinArea [m2]/ (86400 [s/day] * 1000 [mm/m]) ).|sample file
input|calib_soils|raster map|asc|"./datasets/observed"|observed|Raster map of soils for the calibration basin. Each soil class receives an index number defined in the soils_calib_param file. |>> Must match the same size (rows and columns) of other related raster maps. >> CRS must be projected (coordinates in meters). >> Grid cells must be squared. >> Cells values units: class index.|soils
input|calib_soils_param|csv data frame|txt|"./datasets/observed"|observed|Data frame of soil classes for the calibration basin.|>> Field separator: semicolon ";". >> Decimal separator: period  ".". >> Mandatory fields: >>> "IdSoil": unique integer number of soil class index.>>> "SoilName": one-word name of soil class. >>> "SoilAlias": one-word alias of soil class.  >>>"f_To":  positive real number - unitless factor of basin average effective soil transmissivity.  >>>"f_Ksat":  positive real number - unitless factor of reference effective saturated hydraulic conductivity. >>> "Porosity": positive real number - value of soil porosity. >>> "K_USLE": soil erosivity index in ton h MJ-1 mm-1 of USLE. >> Optional fields: >>> "ColoSoil": CSS color name available in matplotlib (ex: "blue") or hex code of color (ex: "#5234eb").|sample file
input|hydro_param|csv data frame|txt|"./datasets/observed"|observed|>> Data frame of hydrology parameter set and ranges. >> Parameters are: >> 1) `m` - positive real value of effective transmissivity decay coefficient in mm; >> 2) `qo` -positive real value of maximal baseflow when D=0 in mm/d;  >> 3) `cpmax` - positive real value of effective unitary canopy water storage capacity in mm; >> 4) `sfmax` - positive real value of effective unitary surface water storage capacity in mm;  >> 5) `erz` - positive real value of effective unitary root zone depth in mm.  >> 6) `ksat` - positive real value of effective unitary saturated hydraulic conductivity in mm/d; >> 7) `c` - positive real value of scaling parameter for PET model in Celcius;>> 8) `lat` - real value of latitude in degrees for PET model;>> 9) `k` - positive real value of Nash Cascade residence time in days; >> 10) `n` - positive real value of equivalent number of reservoirs in Nash Cascade;|>> Field separator: semicolon ";". >> Decimal separator: period  ".". >> Mandatory fields: >>> "Parameter": parameter standard names: "m", "qo", "cpmax",  "dpmax", "erz", "ksat", "c","lat", "k", "n". >>> "Set": positive real number of parameter set (updated by calibration). >>> "Min": positive real number of lower bound of parameter space. >>> "Max": positive real number of upper bound of parameter space. |sample file
output|map_Cpy_YYYY-MM-DD|csv data frame|txt|default output directory in "./runbin … /maps_Cpy" or user defined|computed|Data frame of Cpy values given TWI (rows) and SHRU index (columns) - the Zmap of the variable.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Mandatory fields: >>> "TWI\SHRU": TWI positive real values of TWI histogram bins. >> The "TWI\SHRU" field must be the first field. >>  The following fields after "TWI\SHRU" must be the index number values of each SHRU class and store the values of the mapped values in positive real numbers.|none
output|map_D_YYYY-MM-DD|csv data frame|txt|default output directory in "./runbin … /maps_D" or user defined|computed|Data frame of Dps values given TWI (rows) and SHRU index (columns) - the Zmap of the variable.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Mandatory fields: >>> "TWI\SHRU": TWI positive real values of TWI histogram bins. >> The "TWI\SHRU" field must be the first field. >>  The following fields after "TWI\SHRU" must be the index number values of each SHRU class and store the values of the mapped values in positive real numbers.|none
output|map_Dps_YYYY-MM-DD|csv data frame|txt|default output directory in "./runbin … /maps_Dps" or user defined|computed|Data frame of Dps values given TWI (rows) and SHRU index (columns) - the Zmap of the variable.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Mandatory fields: >>> "TWI\SHRU": TWI positive real values of TWI histogram bins. >> The "TWI\SHRU" field must be the first field. >>  The following fields after "TWI\SHRU" must be the index number values of each SHRU class and store the values of the mapped values in positive real numbers.|none
output|map_ET_YYYY-MM-DD|csv data frame|txt|default output directory in "./runbin … /maps_ET" or user defined|computed|Data frame of ET values given TWI (rows) and SHRU index (columns) - the Zmap of the variable.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Mandatory fields: >>> "TWI\SHRU": TWI positive real values of TWI histogram bins. >> The "TWI\SHRU" field must be the first field. >>  The following fields after "TWI\SHRU" must be the index number values of each SHRU class and store the values of the mapped values in positive real numbers.|none
output|map_Evc_YYYY-MM-DD|csv data frame|txt|default output directory in "./runbin … /maps_Evc" or user defined|computed|Data frame of Evc values given TWI (rows) and SHRU index (columns) - the Zmap of the variable.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Mandatory fields: >>> "TWI\SHRU": TWI positive real values of TWI histogram bins. >> The "TWI\SHRU" field must be the first field. >>  The following fields after "TWI\SHRU" must be the index number values of each SHRU class and store the values of the mapped values in positive real numbers.|none
output|map_Evd_YYYY-MM-DD|csv data frame|txt|default output directory in "./runbin … /maps_Evd" or user defined|computed|Data frame of Evd values given TWI (rows) and SHRU index (columns) - the Zmap of the variable.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Mandatory fields: >>> "TWI\SHRU": TWI positive real values of TWI histogram bins. >> The "TWI\SHRU" field must be the first field. >>  The following fields after "TWI\SHRU" must be the index number values of each SHRU class and store the values of the mapped values in positive real numbers.|none
output|map_Inf_YYYY-MM-DD|csv data frame|txt|default output directory in "./runbin … /maps_Inf" or user defined|computed|Data frame of Inf values given TWI (rows) and SHRU index (columns) - the Zmap of the variable.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Mandatory fields: >>> "TWI\SHRU": TWI positive real values of TWI histogram bins. >> The "TWI\SHRU" field must be the first field. >>  The following fields after "TWI\SHRU" must be the index number values of each SHRU class and store the values of the mapped values in positive real numbers.|none
output|map_Qv_YYYY-MM-DD|csv data frame|txt|default output directory in "./runbin … /maps_Qv" or user defined|computed|Data frame of Qv values given TWI (rows) and SHRU index (columns) - the Zmap of the variable.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Mandatory fields: >>> "TWI\SHRU": TWI positive real values of TWI histogram bins. >> The "TWI\SHRU" field must be the first field. >>  The following fields after "TWI\SHRU" must be the index number values of each SHRU class and store the values of the mapped values in positive real numbers.|none
output|map_R_YYYY-MM-DD|csv data frame|txt|default output directory in "./runbin … /maps_R" or user defined|computed|Data frame of R values given TWI (rows) and SHRU index (columns) - the Zmap of the variable.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Mandatory fields: >>> "TWI\SHRU": TWI positive real values of TWI histogram bins. >> The "TWI\SHRU" field must be the first field. >>  The following fields after "TWI\SHRU" must be the index number values of each SHRU class and store the values of the mapped values in positive real numbers.|none
output|map_TF_YYYY-MM-DD|csv data frame|txt|default output directory in "./runbin … /maps_TF" or user defined|computed|Data frame of TF values given TWI (rows) and SHRU index (columns) - the Zmap of the variable.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Mandatory fields: >>> "TWI\SHRU": TWI positive real values of TWI histogram bins. >> The "TWI\SHRU" field must be the first field. >>  The following fields after "TWI\SHRU" must be the index number values of each SHRU class and store the values of the mapped values in positive real numbers.|none
output|map_Tpgw_YYYY-MM-DD|csv data frame|txt|default output directory in "./runbin … /maps_Tpgw" or user defined|computed|Data frame of Tpgw values given TWI (rows) and SHRU index (columns) - the Zmap of the variable.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Mandatory fields: >>> "TWI\SHRU": TWI positive real values of TWI histogram bins. >> The "TWI\SHRU" field must be the first field. >>  The following fields after "TWI\SHRU" must be the index number values of each SHRU class and store the values of the mapped values in positive real numbers.|none
output|map_Tpun_YYYY-MM-DD|csv data frame|txt|default output directory in "./runbin … /maps_Tpun" or user defined|computed|Data frame of Tpun values given TWI (rows) and SHRU index (columns) - the Zmap of the variable.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Mandatory fields: >>> "TWI\SHRU": TWI positive real values of TWI histogram bins. >> The "TWI\SHRU" field must be the first field. >>  The following fields after "TWI\SHRU" must be the index number values of each SHRU class and store the values of the mapped values in positive real numbers.|none
output|map_Unz_YYYY-MM-DD|csv data frame|txt|default output directory in "./runbin … /maps_Unz" or user defined|computed|Data frame of Unz values given TWI (rows) and SHRU index (columns) - the Zmap of the variable.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Mandatory fields: >>> "TWI\SHRU": TWI positive real values of TWI histogram bins. >> The "TWI\SHRU" field must be the first field. >>  The following fields after "TWI\SHRU" must be the index number values of each SHRU class and store the values of the mapped values in positive real numbers.|none
output|sim_histograms|csv data frame|txt|default output directory in "./runbin … " or user defined|computed|Data frame of histograms of TWI (rows) and SHRU index (columns). Values are in counted cells.|>> Field separator: semicolon ";". >> Decimal separator: period ".".  >> Mandatory fields: >>> "TWI\SHRU": TWI positive real values of TWI histogram bins. >> The "TWI\SHRU" field must be the first field. >>  The following fields after "TWI\SHRU" must be the index number values of each SHRU class and store positive integer values of the histogram of TWI within each SHRU.|none
output|sim_maps_Cpy|csv time series|txt|default output directory in "./runbin … " or user defined|computed|Daily time series of output file paths to the Z-maps of Cpy.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Date format: "YYYY-MM-DD". >> No record gaps are allowed (the time series must be continuous).>> Mandatory fields: >>> "Date": date of record. >>> "File": file path to output Z-map .txt file.|none
output|sim_maps_D|csv time series|txt|default output directory in "./runbin … " or user defined|computed|Daily time series of output file paths to the Z-maps of Dps.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Date format: "YYYY-MM-DD". >> No record gaps are allowed (the time series must be continuous).>> Mandatory fields: >>> "Date": date of record. >>> "File": file path to output Z-map .txt file.|none
output|sim_maps_ET|csv time series|txt|default output directory in "./runbin … " or user defined|computed|Daily time series of output file paths to the Z-maps of ET.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Date format: "YYYY-MM-DD". >> No record gaps are allowed (the time series must be continuous).>> Mandatory fields: >>> "Date": date of record. >>> "File": file path to output Z-map .txt file.|none
output|sim_maps_Evc|csv time series|txt|default output directory in "./runbin … " or user defined|computed|Daily time series of output file paths to the Z-maps of Evc.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Date format: "YYYY-MM-DD". >> No record gaps are allowed (the time series must be continuous).>> Mandatory fields: >>> "Date": date of record. >>> "File": file path to output Z-map .txt file.|none
output|sim_maps_Evd|csv time series|txt|default output directory in "./runbin … " or user defined|computed|Daily time series of output file paths to the Z-maps of Evd.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Date format: "YYYY-MM-DD". >> No record gaps are allowed (the time series must be continuous).>> Mandatory fields: >>> "Date": date of record. >>> "File": file path to output Z-map .txt file.|none
output|sim_maps_Inf|csv time series|txt|default output directory in "./runbin … " or user defined|computed|Daily time series of output file paths to the Z-maps of |>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Date format: "YYYY-MM-DD". >> No record gaps are allowed (the time series must be continuous).>> Mandatory fields: >>> "Date": date of record. >>> "File": file path to output Z-map .txt file.|none
output|sim_maps_Qv|csv time series|txt|default output directory in "./runbin … " or user defined|computed|Daily time series of output file paths to the Z-maps of Qv.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Date format: "YYYY-MM-DD". >> No record gaps are allowed (the time series must be continuous).>> Mandatory fields: >>> "Date": date of record. >>> "File": file path to output Z-map .txt file.|none
output|sim_maps_R|csv time series|txt|default output directory in "./runbin … " or user defined|computed|Daily time series of output file paths to the Z-maps of R.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Date format: "YYYY-MM-DD". >> No record gaps are allowed (the time series must be continuous).>> Mandatory fields: >>> "Date": date of record. >>> "File": file path to output Z-map .txt file.|none
output|sim_maps_Sfs|csv time series|txt|default output directory in "./runbin … " or user defined|computed|Daily time series of output file paths to the Z-maps of Sfs.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Date format: "YYYY-MM-DD". >> No record gaps are allowed (the time series must be continuous).>> Mandatory fields: >>> "Date": date of record. >>> "File": file path to output Z-map .txt file.|none
output|sim_maps_TF|csv time series|txt|default output directory in "./runbin … " or user defined|computed|Daily time series of output file paths to the Z-maps of TF.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Date format: "YYYY-MM-DD". >> No record gaps are allowed (the time series must be continuous).>> Mandatory fields: >>> "Date": date of record. >>> "File": file path to output Z-map .txt file.|none
output|sim_maps_Tpgw|csv time series|txt|default output directory in "./runbin … " or user defined|computed|Daily time series of output file paths to the Z-maps of Tpgw.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Date format: "YYYY-MM-DD". >> No record gaps are allowed (the time series must be continuous).>> Mandatory fields: >>> "Date": date of record. >>> "File": file path to output Z-map .txt file.|none
output|sim_maps_Tpun|csv time series|txt|default output directory in "./runbin … " or user defined|computed|Daily time series of output file paths to the Z-maps of Tpun.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Date format: "YYYY-MM-DD". >> No record gaps are allowed (the time series must be continuous).>> Mandatory fields: >>> "Date": date of record. >>> "File": file path to output Z-map .txt file.|none
output|sim_maps_Unz|csv time series|txt|default output directory in "./runbin … " or user defined|computed|Daily time series of output file paths to the Z-maps of Unz.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Date format: "YYYY-MM-DD". >> No record gaps are allowed (the time series must be continuous).>> Mandatory fields: >>> "Date": date of record. >>> "File": file path to output Z-map .txt file.|none
